Reading,Receive,Value,Unit,Data Quality
2025-06-04 16:00:00,2025-06-04 16:37:18,2.93,ft,A
2025-06-04 15:45:00,2025-06-04 16:37:18,2.90,ft,A
2025-06-04 15:30:00,2025-06-04 16:37:18,2.89,ft,A
2025-06-04 15:15:00,2025-06-04 15:37:12,2.88,ft,A
2025-06-04 15:00:00,2025-06-04 15:37:11,2.84,ft,A
2025-06-04 14:45:00,2025-06-04 15:37:11,2.84,ft,A
2025-06-04 14:30:00,2025-06-04 15:37:11,2.83,ft,A
2025-06-04 14:15:00,2025-06-04 14:37:10,2.84,ft,A
2025-06-04 14:00:00,2025-06-04 14:37:10,2.79,ft,A
2025-06-04 13:45:00,2025-06-04 14:37:10,2.81,ft,A
2025-06-04 13:30:00,2025-06-04 14:37:10,2.79,ft,A
2025-06-04 13:15:00,2025-06-04 13:37:12,2.80,ft,A
2025-06-04 13:00:00,2025-06-04 13:37:12,2.80,ft,A
2025-06-04 12:45:00,2025-06-04 13:37:11,2.79,ft,A
2025-06-04 12:30:00,2025-06-04 13:37:11,2.79,ft,A
2025-06-04 12:15:00,2025-06-04 12:37:11,2.79,ft,A
2025-06-04 12:00:00,2025-06-04 12:37:11,2.80,ft,A
2025-06-04 11:45:00,2025-06-04 12:37:11,2.82,ft,A
2025-06-04 11:30:00,2025-06-04 12:37:11,2.82,ft,A
2025-06-04 11:15:00,2025-06-04 11:37:12,2.84,ft,A
2025-06-04 11:00:00,2025-06-04 11:37:12,2.84,ft,A
2025-06-04 10:45:00,2025-06-04 11:37:12,2.86,ft,A
2025-06-04 10:30:00,2025-06-04 11:37:11,2.89,ft,A
2025-06-04 10:15:00,2025-06-04 10:37:12,2.90,ft,A
2025-06-04 10:00:00,2025-06-04 10:37:12,2.91,ft,A
2025-06-04 09:45:00,2025-06-04 10:37:12,2.92,ft,A
2025-06-04 09:30:00,2025-06-04 10:37:12,2.95,ft,A
2025-06-04 09:15:00,2025-06-04 09:37:11,2.96,ft,A
2025-06-04 09:00:00,2025-06-04 09:37:11,2.99,ft,A
2025-06-04 08:45:00,2025-06-04 09:37:11,3.00,ft,A
2025-06-04 08:30:00,2025-06-04 09:37:11,3.01,ft,A
2025-06-04 08:15:00,2025-06-04 08:37:11,3.03,ft,A
2025-06-04 08:00:00,2025-06-04 08:37:11,3.05,ft,A
2025-06-04 07:45:00,2025-06-04 08:37:11,3.05,ft,A
2025-06-04 07:30:00,2025-06-04 08:37:11,3.06,ft,A
2025-06-04 07:15:00,2025-06-04 07:37:12,3.07,ft,A
2025-06-04 07:00:00,2025-06-04 07:37:12,3.07,ft,A
2025-06-04 06:45:00,2025-06-04 07:37:12,3.07,ft,A
2025-06-04 06:30:00,2025-06-04 07:37:12,3.07,ft,A
2025-06-04 06:15:00,2025-06-04 06:37:12,3.07,ft,A
2025-06-04 06:00:00,2025-06-04 06:37:12,3.07,ft,A
2025-06-04 05:45:00,2025-06-04 06:37:12,3.07,ft,A
2025-06-04 05:30:00,2025-06-04 06:37:12,3.06,ft,A
2025-06-04 05:15:00,2025-06-04 05:37:15,3.06,ft,A
2025-06-04 05:00:00,2025-06-04 05:37:15,3.05,ft,A
2025-06-04 04:45:00,2025-06-04 05:37:15,3.05,ft,A
2025-06-04 04:30:00,2025-06-04 05:37:15,3.04,ft,A
2025-06-04 04:15:00,2025-06-04 04:37:11,3.04,ft,A
2025-06-04 04:00:00,2025-06-04 04:37:11,3.02,ft,A
2025-06-04 03:45:00,2025-06-04 04:37:11,3.02,ft,A
2025-06-04 03:30:00,2025-06-04 04:37:11,3.01,ft,A
2025-06-04 03:15:00,2025-06-04 03:37:12,3.00,ft,A
2025-06-04 03:00:00,2025-06-04 03:37:12,2.99,ft,A
2025-06-04 02:45:00,2025-06-04 03:37:12,3.00,ft,A
2025-06-04 02:30:00,2025-06-04 03:37:12,2.98,ft,A
2025-06-04 02:15:00,2025-06-04 02:37:16,2.99,ft,A
2025-06-04 02:00:00,2025-06-04 02:37:16,2.98,ft,A
2025-06-04 01:45:00,2025-06-04 02:37:16,2.98,ft,A
2025-06-04 01:30:00,2025-06-04 02:37:16,2.98,ft,A
2025-06-04 01:15:00,2025-06-04 01:37:12,2.98,ft,A
2025-06-04 01:00:00,2025-06-04 01:37:12,2.98,ft,A
2025-06-04 00:45:00,2025-06-04 01:37:12,2.98,ft,A
2025-06-04 00:30:00,2025-06-04 01:37:11,2.99,ft,A
2025-06-04 00:15:00,2025-06-04 00:37:12,3.00,ft,A
2025-06-04 00:00:00,2025-06-04 00:37:12,3.00,ft,A
2025-06-03 23:45:00,2025-06-04 00:37:12,3.03,ft,A
2025-06-03 23:30:00,2025-06-04 00:37:12,3.03,ft,A
2025-06-03 23:15:00,2025-06-03 23:37:15,3.05,ft,A
2025-06-03 23:00:00,2025-06-03 23:37:15,3.05,ft,A
2025-06-03 22:45:00,2025-06-03 23:37:15,3.06,ft,A
2025-06-03 22:30:00,2025-06-03 23:37:14,3.08,ft,A
2025-06-03 22:15:00,2025-06-03 22:37:13,3.10,ft,A
2025-06-03 22:00:00,2025-06-03 22:37:13,3.10,ft,A
2025-06-03 21:45:00,2025-06-03 22:37:13,3.12,ft,A
2025-06-03 21:30:00,2025-06-03 22:37:13,3.14,ft,A
2025-06-03 21:15:00,2025-06-03 21:37:13,3.13,ft,A
2025-06-03 21:00:00,2025-06-03 21:37:13,3.13,ft,A
2025-06-03 20:45:00,2025-06-03 21:37:13,3.13,ft,A
2025-06-03 20:30:00,2025-06-03 21:37:13,3.16,ft,A
2025-06-03 20:15:00,2025-06-03 20:37:14,3.16,ft,A
2025-06-03 20:00:00,2025-06-03 20:37:14,3.19,ft,A
2025-06-03 19:45:00,2025-06-03 20:37:14,3.17,ft,A
2025-06-03 19:30:00,2025-06-03 20:37:14,3.18,ft,A
2025-06-03 19:15:00,2025-06-03 19:37:15,3.18,ft,A
2025-06-03 19:00:00,2025-06-03 19:37:15,3.19,ft,A
2025-06-03 18:45:00,2025-06-03 19:37:15,3.20,ft,A
2025-06-03 18:30:00,2025-06-03 19:37:15,3.20,ft,A
2025-06-03 18:15:00,2025-06-03 18:37:18,3.21,ft,A
2025-06-03 18:00:00,2025-06-03 18:37:18,3.22,ft,A
2025-06-03 17:45:00,2025-06-03 18:37:18,3.17,ft,A
2025-06-03 17:30:00,2025-06-03 18:37:18,3.20,ft,A
2025-06-03 17:15:00,2025-06-03 17:37:16,3.19,ft,A
2025-06-03 17:00:00,2025-06-03 17:37:16,3.20,ft,A
2025-06-03 16:45:00,2025-06-03 17:37:16,3.20,ft,A
2025-06-03 16:30:00,2025-06-03 17:37:16,3.18,ft,A
2025-06-03 16:15:00,2025-06-03 16:37:10,3.17,ft,A
2025-06-03 16:00:00,2025-06-03 16:37:10,3.15,ft,A
2025-06-03 15:45:00,2025-06-03 16:37:10,3.13,ft,A
2025-06-03 15:30:00,2025-06-03 16:37:10,3.11,ft,A
2025-06-03 15:15:00,2025-06-03 15:37:11,3.12,ft,A
2025-06-03 15:00:00,2025-06-03 15:37:11,3.09,ft,A
2025-06-03 14:45:00,2025-06-03 15:37:10,3.05,ft,A
2025-06-03 14:30:00,2025-06-03 15:37:10,3.06,ft,A
2025-06-03 14:15:00,2025-06-03 14:37:12,3.00,ft,A
2025-06-03 14:00:00,2025-06-03 14:37:12,3.00,ft,A
2025-06-03 13:45:00,2025-06-03 14:37:12,2.97,ft,A
2025-06-03 13:30:00,2025-06-03 14:37:12,2.94,ft,A
2025-06-03 13:15:00,2025-06-03 13:37:11,2.89,ft,A
2025-06-03 13:00:00,2025-06-03 13:37:11,2.88,ft,A
2025-06-03 12:45:00,2025-06-03 13:37:11,2.87,ft,A
2025-06-03 12:30:00,2025-06-03 13:37:11,2.83,ft,A
2025-06-03 12:15:00,2025-06-03 12:37:13,2.83,ft,A
2025-06-03 12:00:00,2025-06-03 12:37:13,2.78,ft,A
2025-06-03 11:45:00,2025-06-03 12:37:13,2.75,ft,A
2025-06-03 11:30:00,2025-06-03 12:37:13,2.75,ft,A
2025-06-03 11:15:00,2025-06-03 11:37:11,2.73,ft,A
2025-06-03 11:00:00,2025-06-03 11:37:11,2.72,ft,A
2025-06-03 10:45:00,2025-06-03 11:37:11,2.71,ft,A
2025-06-03 10:30:00,2025-06-03 11:37:11,2.70,ft,A
2025-06-03 10:15:00,2025-06-03 10:37:11,2.69,ft,A
2025-06-03 10:00:00,2025-06-03 10:37:11,2.70,ft,A
2025-06-03 09:45:00,2025-06-03 10:37:11,2.70,ft,A
2025-06-03 09:30:00,2025-06-03 10:37:11,2.71,ft,A
2025-06-03 09:15:00,2025-06-03 09:37:11,2.72,ft,A
2025-06-03 09:00:00,2025-06-03 09:37:11,2.73,ft,A
2025-06-03 08:45:00,2025-06-03 09:37:11,2.73,ft,A
2025-06-03 08:30:00,2025-06-03 09:37:11,2.78,ft,A
2025-06-03 08:15:00,2025-06-03 08:37:11,2.78,ft,A
2025-06-03 08:00:00,2025-06-03 08:37:11,2.79,ft,A
2025-06-03 07:45:00,2025-06-03 08:37:11,2.80,ft,A
2025-06-03 07:30:00,2025-06-03 08:37:11,2.80,ft,A
2025-06-03 07:15:00,2025-06-03 07:37:14,2.81,ft,A
2025-06-03 07:00:00,2025-06-03 07:37:14,2.82,ft,A
2025-06-03 06:45:00,2025-06-03 07:37:14,2.82,ft,A
2025-06-03 06:30:00,2025-06-03 07:37:13,2.83,ft,A
2025-06-03 06:15:00,2025-06-03 06:37:10,2.83,ft,A
2025-06-03 06:00:00,2025-06-03 06:37:10,2.83,ft,A
2025-06-03 05:45:00,2025-06-03 06:37:10,2.84,ft,A
2025-06-03 05:30:00,2025-06-03 06:37:10,2.85,ft,A
2025-06-03 05:15:00,2025-06-03 05:37:13,2.85,ft,A
2025-06-03 05:00:00,2025-06-03 05:37:13,2.84,ft,A
2025-06-03 04:45:00,2025-06-03 05:37:13,2.85,ft,A
2025-06-03 04:30:00,2025-06-03 05:37:13,2.86,ft,A
2025-06-03 04:15:00,2025-06-03 04:37:15,2.85,ft,A
2025-06-03 04:00:00,2025-06-03 04:37:15,2.86,ft,A
2025-06-03 03:45:00,2025-06-03 04:37:15,2.86,ft,A
2025-06-03 03:30:00,2025-06-03 04:37:15,2.85,ft,A
2025-06-03 03:15:00,2025-06-03 03:52:14,2.85,ft,A
2025-06-03 03:00:00,2025-06-03 03:52:14,2.85,ft,A
2025-06-03 02:45:00,2025-06-03 03:52:14,2.85,ft,A
2025-06-03 02:30:00,2025-06-03 03:52:14,2.84,ft,A
2025-06-03 02:15:00,2025-06-03 02:37:13,2.84,ft,A
2025-06-03 02:00:00,2025-06-03 02:37:13,2.83,ft,A
2025-06-03 01:45:00,2025-06-03 02:37:13,2.83,ft,A
2025-06-03 01:30:00,2025-06-03 02:37:13,2.83,ft,A
2025-06-03 01:15:00,2025-06-03 01:37:10,2.83,ft,A
2025-06-03 01:00:00,2025-06-03 01:37:10,2.84,ft,A
2025-06-03 00:45:00,2025-06-03 01:37:10,2.84,ft,A
2025-06-03 00:30:00,2025-06-03 01:37:10,2.84,ft,A
2025-06-03 00:15:00,2025-06-03 00:52:12,2.85,ft,A
2025-06-03 00:00:00,2025-06-03 00:52:12,2.85,ft,A
2025-06-02 23:45:00,2025-06-03 00:52:12,2.85,ft,A
2025-06-02 23:30:00,2025-06-03 00:52:12,2.86,ft,A
2025-06-02 23:15:00,2025-06-02 23:37:17,2.87,ft,A
2025-06-02 23:00:00,2025-06-02 23:37:17,2.88,ft,A
2025-06-02 22:45:00,2025-06-02 23:37:17,2.89,ft,A
2025-06-02 22:30:00,2025-06-02 23:37:17,2.89,ft,A
2025-06-02 22:15:00,2025-06-02 22:37:16,2.90,ft,A
2025-06-02 22:00:00,2025-06-02 22:37:16,2.91,ft,A
2025-06-02 21:45:00,2025-06-02 22:37:15,2.92,ft,A
2025-06-02 21:30:00,2025-06-02 22:37:15,2.94,ft,A
2025-06-02 21:15:00,2025-06-02 21:37:11,2.95,ft,A
2025-06-02 21:00:00,2025-06-02 21:37:11,2.97,ft,A
2025-06-02 20:45:00,2025-06-02 21:37:11,2.98,ft,A
2025-06-02 20:30:00,2025-06-02 21:37:10,2.99,ft,A
