ImageFile,Turbidity
HD3406.JPG,31.28
HD3407.JPG,30
HD3408.JPG,30.91
HD3409.JPG,29.1
HD3414.JPG,30.59
HD3415.JPG,30.11
HD3416.JPG,31.18
HD3417.JPG,30.49
HD3423.JPG,31.15
HD3424.JPG,29.78
HD3425.JPG,30.15
HD3430.JPG,32.23
HD3431.JPG,29.27
HD3432.JPG,33.99
HD3433.JPG,30.48
HD3495.JPG,34.61
HD3496.JPG,35.27
HD3497.JPG,38.82
HD3503.JPG,40.9
HD3504.JPG,45.61
HD3505.JPG,45.94
HD3511.JPG,37.4
HD3512.JPG,38.51
HD3513.JPG,34.85
HD3519.JPG,44.7
HD3520.JPG,40.73
HD3521.JPG,32.33
HD3527.JPG,44.73
HD3528.JPG,44.76
HD3529.JPG,40.04
HD3590.JPG,33.79
HD3591.JPG,32.64
HD3592.JPG,33.76
HD3593.JPG,32.15
HD3599.JPG,35.07
HD3600.JPG,34.38
HD3601.JPG,33.21
HD3607.JPG,39.57
HD3608.JPG,42.42
HD3609.JPG,39.27
HD3615.JPG,51.56
HD3616.JPG,66.55
HD3617.JPG,58.96
HD3623.JPG,54.4
HD3624.JPG,55.75
HD3625.JPG,58.45
HD3686.JPG,20.43
HD3687.JPG,20.2
HD3688.JPG,20.27
HD3689.JPG,20.58
HD3694.JPG,21.15
HD3695.JPG,22.43
HD3696.JPG,21.68
HD3697.JPG,21.23
HD3702.JPG,25.17
HD3703.JPG,24.29
HD3704.JPG,24.04
HD3705.JPG,22.21
HD3710.JPG,24.18
HD3711.JPG,23.42
HD3712.JPG,23.69
HD3713.JPG,26.62
HD3718.JPG,22.82
HD3719.JPG,22.32
HD3720.JPG,23.47
HD3721.JPG,25.21
HD3782.JPG,23.71
HD3783.JPG,20.81
HD3784.JPG,21.19
HD3785.JPG,22.31
HD3790.JPG,21.56
HD3791.JPG,20.73
HD3792.JPG,21.47
HD3793.JPG,21.12
HD3798.JPG,21.89
HD3799.JPG,21.44
HD3800.JPG,23.19
HD3801.JPG,21.89
HD3806.JPG,23.4
HD3807.JPG,22.12
HD3808.JPG,21.37
HD3809.JPG,21.73
HD3814.JPG,21.74
HD3815.JPG,21.3
HD3816.JPG,21.15
HD3817.JPG,20.38
HD3878.JPG,21.85
HD3879.JPG,25.2
HD3880.JPG,28.84
HD3881.JPG,35.35
HD3886.JPG,28.97
HD3887.JPG,28.31
HD3888.JPG,27.34
HD3889.JPG,28.5
HD3894.JPG,29.18
HD3895.JPG,30.28
HD3896.JPG,30.1
HD3897.JPG,29.68
HD3902.JPG,27.35
HD3903.JPG,25.74
HD3904.JPG,27.7
HD3905.JPG,25.71
HD3910.JPG,27.94
HD3911.JPG,25.35
HD3912.JPG,24.31
HD3913.JPG,26.85
HD3975.JPG,19.38
HD3976.JPG,18.06
HD3977.JPG,17.62
HD3982.JPG,17.17
HD3983.JPG,17.95
HD3984.JPG,20.74
HD3985.JPG,35.91
HD3990.JPG,22.5
HD3991.JPG,22.39
HD3992.JPG,20.09
HD3993.JPG,18.81
HD3998.JPG,22.23
HD3999.JPG,20.85
HD4000.JPG,20.25
HD4001.JPG,21.71
HD4006.JPG,20.65
HD4007.JPG,19.66
HD4008.JPG,19.34
HD4009.JPG,19.95
HD4071.JPG,17.79
HD4072.JPG,21.26
HD4073.JPG,21.27
HD4078.JPG,19.22
HD4079.JPG,18.58
HD4080.JPG,17.73
HD4081.JPG,17.71
HD4087.JPG,17.8
HD4088.JPG,20.75
HD4089.JPG,17.29
HD4094.JPG,17.6
HD4095.JPG,18.37
HD4096.JPG,18.33
HD4097.JPG,18.16
HD4102.JPG,18.18
HD4103.JPG,18.76
HD4104.JPG,18.8
HD4105.JPG,18.84
HD4167.JPG,16.35
HD4168.JPG,18.73
HD4169.JPG,15.53
HD4175.JPG,16.71
HD4176.JPG,16.03
HD4177.JPG,16.17
HD4183.JPG,16.14
HD4184.JPG,16.84
HD4185.JPG,19.22
HD4190.JPG,18.44
HD4191.JPG,18.14
HD4192.JPG,17.97
HD4193.JPG,18.01
HD4198.JPG,18.78
HD4199.JPG,17.8
HD4200.JPG,18.39
HD4201.JPG,19.5
HD4262.JPG,19.17
HD4263.JPG,18.11
HD4264.JPG,17.4
HD4265.JPG,18.41
HD4270.JPG,19.12
HD4271.JPG,17.79
HD4272.JPG,16.48
HD4273.JPG,17.78
HD4279.JPG,17.04
HD4280.JPG,19.54
HD4281.JPG,18.57
HD4286.JPG,24.84
HD4287.JPG,20.03
HD4288.JPG,18.22
HD4289.JPG,20.4
HD4294.JPG,18.91
HD4295.JPG,18.51
HD4296.JPG,19.45
HD4297.JPG,21.75
HD4358.JPG,33.84
HD4359.JPG,31.29
HD4360.JPG,29.72
HD4361.JPG,29.88
HD4366.JPG,27.41
HD4367.JPG,27.41
HD4368.JPG,27.04
HD4369.JPG,26.16
HD4374.JPG,23.85
HD4375.JPG,22.69
HD4376.JPG,21.22
HD4377.JPG,21.26
HD4382.JPG,19.95
HD4383.JPG,21.93
HD4384.JPG,26.21
HD4385.JPG,24.6
HD4390.JPG,20.44
HD4391.JPG,17.38
HD4392.JPG,16.93
HD4393.JPG,18.57
HD4454.JPG,18.76
HD4455.JPG,18.22
HD4456.JPG,17.79
HD4457.JPG,18.09
HD4462.JPG,19.14
HD4463.JPG,19.19
HD4464.JPG,21.68
HD4465.JPG,18.26
HD4470.JPG,20.32
HD4471.JPG,18.86
HD4472.JPG,16.7
HD4473.JPG,16.63
HD4478.JPG,24.45
HD4479.JPG,17.85
HD4480.JPG,16.81
HD4481.JPG,18.13
HD4486.JPG,21.29
HD4487.JPG,25.13
HD4488.JPG,18.99
HD4489.JPG,20.19
HD4550.JPG,18.07
HD4551.JPG,17.14
HD4552.JPG,18.29
HD4553.JPG,18.13
HD4559.JPG,16.19
HD4560.JPG,16.44
HD4561.JPG,17.05
HD4567.JPG,71.46
HD4568.JPG,30.16
HD4569.JPG,26.34
HD4574.JPG,21.65
HD4575.JPG,31.36
HD4576.JPG,43.09
HD4577.JPG,36.72
HD4582.JPG,21.18
HD4583.JPG,23.37
HD4584.JPG,21.42
HD4585.JPG,23.12
HD4646.JPG,21.61
HD4647.JPG,27.58
HD4648.JPG,22.31
HD4649.JPG,23.02
HD4654.JPG,21.13
HD4655.JPG,20.96
HD4656.JPG,21.28
HD4657.JPG,20.92
HD4662.JPG,20.26
HD4663.JPG,20.49
HD4664.JPG,20.44
HD4665.JPG,19.67
HD4670.JPG,21.32
